"Date
Posted","Bulletin
ID",Bulletin KB,Severity,Impact,Title,Affected Product,Component KB,Affected Component,Impact,Severity,Supersedes,Reboot,CVEs
11/11/2008,MS08-069,955218,Critical,Remote Code Execution,Vulnerabilities in Microsoft XML Core Services Could Allow Remote Code Execution,Microsoft Windows 2000 Service Pack 4,955069,Microsoft XML Core Services 3.0,Remote Code Execution,Critical,MS07-042[936021],Maybe,"CVE-2007-0099,CVE-2008-4029,CVE-2008-4033"
11/11/2008,MS08-069,955218,Critical,Remote Code Execution,Vulnerabilities in Microsoft XML Core Services Could Allow Remote Code Execution,Microsoft Windows XP Service Pack 2,955069,Microsoft XML Core Services 3.0,Remote Code Execution,Critical,MS07-042[936021],Maybe,"CVE-2007-0099,CVE-2008-4029,CVE-2008-4033"
11/11/2008,MS08-069,955218,Critical,Remote Code Execution,Vulnerabilities in Microsoft XML Core Services Could Allow Remote Code Execution,Microsoft Windows XP Professional x64 Edition,955069,Microsoft XML Core Services 3.0,Remote Code Execution,Critical,MS07-042[936021],Maybe,"CVE-2007-0099,CVE-2008-4029,CVE-2008-4033"
11/11/2008,MS08-069,955218,Critical,Remote Code Execution,Vulnerabilities in Microsoft XML Core Services Could Allow Remote Code Execution,Microsoft Windows XP Professional x64 Edition Service Pack 2,955069,Microsoft XML Core Services 3.0,Remote Code Execution,Critical,MS07-042[936021],Maybe,"CVE-2007-0099,CVE-2008-4029,CVE-2008-4033"
11/11/2008,MS08-069,955218,Critical,Remote Code Execution,Vulnerabilities in Microsoft XML Core Services Could Allow Remote Code Execution,Microsoft Windows Server 2003 Service Pack 1,955069,Microsoft XML Core Services 3.0,Remote Code Execution,Critical,MS07-042[936021],Maybe,"CVE-2007-0099,CVE-2008-4029,CVE-2008-4033"
11/11/2008,MS08-069,955218,Critical,Remote Code Execution,Vulnerabilities in Microsoft XML Core Services Could Allow Remote Code Execution,Microsoft Windows Server 2003 Service Pack 2,955069,Microsoft XML Core Services 3.0,Remote Code Execution,Critical,MS07-042[936021],Maybe,"CVE-2007-0099,CVE-2008-4029,CVE-2008-4033"
11/11/2008,MS08-069,955218,Critical,Remote Code Execution,Vulnerabilities in Microsoft XML Core Services Could Allow Remote Code Execution,Microsoft Windows Server 2003 x64 Edition,955069,Microsoft XML Core Services 3.0,Remote Code Execution,Critical,MS07-042[936021],Maybe,"CVE-2007-0099,CVE-2008-4029,CVE-2008-4033"
11/11/2008,MS08-069,955218,Critical,Remote Code Execution,Vulnerabilities in Microsoft XML Core Services Could Allow Remote Code Execution,Microsoft Windows Server 2003 x64 Edition Service Pack 2,955069,Microsoft XML Core Services 3.0,Remote Code Execution,Critical,MS07-042[936021],Maybe,"CVE-2007-0099,CVE-2008-4029,CVE-2008-4033"
11/11/2008,MS08-069,955218,Critical,Remote Code Execution,Vulnerabilities in Microsoft XML Core Services Could Allow Remote Code Execution,Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 1,955069,Microsoft XML Core Services 3.0,Remote Code Execution,Critical,MS07-042[936021],Maybe,"CVE-2007-0099,CVE-2008-4029,CVE-2008-4033"
11/11/2008,MS08-069,955218,Critical,Remote Code Execution,Vulnerabilities in Microsoft XML Core Services Could Allow Remote Code Execution,Microsoft Windows Server 2003 for Itanium-based Systems Service Pack 2,955069,Microsoft XML Core Services 3.0,Remote Code Execution,Critical,MS07-042[936021],Maybe,"CVE-2007-0099,CVE-2008-4029,CVE-2008-4033"
